t,k1,k2,sp,L1,L2
1,0.0101,0.0918,1.41293837844197,7.92295183804636,1.71204816195364
2,0.0102028157150268,0.0936720997323221,1.45281649788401,7.85697219793118,1.77802780206882
3,0.0103039294142927,0.0956083137383233,1.49001738644516,7.79621602174867,1.83878397825133
4,0.0104026215367859,0.0975909132456762,1.52437748134499,7.74000165563806,1.89499834436194
5,0.0104985818134608,0.0996048476647227,1.55623711789291,7.6877720319594,1.9472279680406
6,0.0105916106599227,0.101637606747778,1.58590272307197,7.6390665353911,1.9959334646089
7,0.0106815801231283,0.10367875938816,1.61376406231443,7.59350035155714,2.04149964844286
8,0.0107682916426609,0.105719161636313,1.63977281299932,7.55074932714815,2.08425067285185
9,0.0108518224271678,0.10775174347184,1.66436581161116,7.51053751749757,2.12446248250243
10,0.0109320530684082,0.109769790553574,1.68742733628534,7.47262880688633,2.16237119311367
11,0.0110091189342705,0.111768603712647,1.70935608629208,7.43681910913853,2.19818089086147
12,0.0110829426837117,0.113743162641286,1.729984921784,7.40293134114228,2.23206865885772
13,0.0111536947468605,0.115690497150426,1.74969283158997,7.37081049382951,2.26418950617049
14,0.011221322615066,0.117606796481472,1.76842537675128,7.34032018319215,2.29467981680785
15,0.0112858912413833,0.119489432790996,1.7861011586682,7.31134011990367,2.32365988009632
16,0.0113476066964478,0.121337294783075,1.80307753763263,7.28376317216725,2.35123682783275
17,0.0114064416299709,0.123147849586907,1.81927564383421,7.25749382112234,2.37750617887766
18,0.0114624761331386,0.124919689098517,1.83458752557013,7.23244635378363,2.40255364621636
19,0.0115159229088526,0.126652877070229,1.84935665391759,7.20854349237185,2.42645650762815
20,0.0115667654946533,0.128345699057741,1.8633280775319,7.18571551226948,2.44928448773052
21,0.0116152076557769,0.129998705641074,1.87684535981799,7.16389900747533,2.47110099252466
22,0.011661230833126,0.131610508606942,1.88980003144836,7.14303619121883,2.49196380878117
23,0.011704914445859,0.133180820966325,1.90204463467274,7.12307435559946,2.51192564440054
24,0.011746472204571,0.134710934093357,1.91393086104842,7.10396508159622,2.53103491840378
25,0.0117858885895006,0.136199871597795,1.92534321913424,7.08566381105172,2.54933618894828
26,0.011823237802909,0.137647721169855,1.93611954269997,7.06812951811892,2.56687048188107
27,0.0118587257841721,0.139056189056827,1.94661357578001,7.05132420312816,2.58367579687184
28,0.0118923354742547,0.140424546676776,1.95670429582746,7.035212580694,2.599787419306
29,0.0119241331809166,0.141753107036407,1.96639399605058,7.01976184725466,2.61523815274534
30,0.0119542003054158,0.143042440400048,1.97552690497715,7.00494151800551,2.63005848199449
31,0.0119827290713754,0.144294586292617,1.98444950415121,6.99072303041919,2.64427696958081
32,0.0120097016478954,0.145509041280731,1.9930416900377,6.97707963605935,2.65792036394065
33,0.0120351735927094,0.146686284493234,2.00112069622957,6.96398631654763,2.67101368345237
34,0.0120593236655636,0.147828477950952,2.00903770299791,6.95141949808062,2.68358050191938
35,0.0120821299100359,0.148935170828153,2.01667005417433,6.93935696658693,2.69564303341307
36,0.0121036384590696,0.150006877479327,2.02382179415735,6.92777781345506,2.70722218654494
37,0.0121240178189077,0.151045865601102,2.03085226754328,6.91666226074505,2.71833773925495
38,0.0121432428166555,0.152051701873165,2.03763764896173,6.90599157132871,2.72900842867128
39,0.0121613504731373,0.153024893773199,2.04416425354081,6.89574798918908,2.73925201081092
40,0.0121783941909589,0.153966203181753,2.05024857219237,6.88591471059083,2.74908528940916
41,0.0121945305869095,0.15487799235481,2.0562491040048,6.87647572074,2.75852427925999
42,0.0122097342048697,0.155759863503969,2.06204734709039,6.86741577993849,2.7675842200615
43,0.0122240321586181,0.156612291796999,2.06742703348701,6.85872038948961,2.77627961051038
44,0.012237566874037,0.157437614954787,2.07275315538773,6.85037571495868,2.78462428504132
45,0.0122503098630587,0.158235379621204,2.07790749257455,6.84236853056947,2.79263146943052
46,0.0122622797299094,0.159005990111467,2.08286813476515,6.83468620358123,2.80031379641876
47,0.0122735120492984,0.15975012360576,2.08743266591288,6.82731666786263,2.80768333213737
48,0.0122841404422835,0.1604701884525,2.09196835835532,6.82024836483131,2.81475163516869
49,0.0122941386262442,0.161165728827184,2.09636484034485,6.81347020273604,2.82152979726395
50,0.0123035174634548,0.161837074861964,2.10059733293712,6.80697153488314,2.82802846511686
